NATIONAL FOREST,WILDERNESS,LAT,LONG,UTME,UTMN,ZONE,MONITORING SITE NAME,site_rename,DATE,TIME,SAMPLE TYPE,pH,ANC,SPECIFIC CONDUCTIVITY (SC),Na,NH4,K,Mg,Ca,F,Cl,NO3,PO4,SO4,COMMENT,Uncategorized
WHITE RIVER NATIONAL FOREST,MAROON BELLS SNOWMASS WILDERNESS,39.16167,-107.08056,320243,4336779,13,CAPITOL LAKE,CAPITOL LAKE,07-10-1996,,,6.66,,20.64,0.53,0.01,0.19,0.66,4.07,0.02,0.1,0.75,0.0,1.15,,
WHITE RIVER NATIONAL FOREST,MAROON BELLS SNOWMASS WILDERNESS,39.16167,-107.08056,320243,4336779,13,CAPITOL LAKE,CAPITOL LAKE,08-08-1996,,,6.96,,20.87,0.54,0.01,0.2,0.64,3.64,0.02,0.09,0.48,0.0,1.06,,
WHITE RIVER NATIONAL FOREST,MAROON BELLS SNOWMASS WILDERNESS,39.16167,-107.08056,320243,4336779,13,CAPITOL LAKE,CAPITOL LAKE,09-07-1996,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,
WHITE RIVER NATIONAL FOREST,MAROON BELLS SNOWMASS WILDERNESS,39.16167,-107.08056,320243,4336779,13,CAPITOL LAKE,CAPITOL LAKE,07-07-1997,,,6.8,,18.94,0.49,0.01,0.19,0.5,2.98,0.02,0.16,1.31,0.0,1.21,,
WHITE RIVER NATIONAL FOREST,MAROON BELLS SNOWMASS WILDERNESS,39.16167,-107.08056,320243,4336779,13,CAPITOL LAKE,CAPITOL LAKE,07-27-1997,,,6.89,,22.33,0.54,0.01,0.2,0.6,3.64,0.02,0.12,0.87,0.0,1.23,,
WHITE RIVER NATIONAL FOREST,MAROON BELLS SNOWMASS WILDERNESS,39.16167,-107.08056,320243,4336779,13,CAPITOL LAKE,CAPITOL LAKE,09-14-1997,,,6.85,,21.11,0.54,0.03,0.19,0.57,3.49,0.02,0.12,0.63,0.0,1.2,,
WHITE RIVER NATIONAL FOREST,MAROON BELLS SNOWMASS WILDERNESS,39.16167,-107.08056,320243,4336779,13,CAPITOL LAKE,CAPITOL LAKE,07-12-1998,,,6.96,,19.6,0.51,0.01,0.18,0.54,3.35,0.02,0.11,0.91,0.0,1.11,,
WHITE RIVER NATIONAL FOREST,MAROON BELLS SNOWMASS WILDERNESS,39.16167,-107.08056,320243,4336779,13,CAPITOL LAKE,CAPITOL LAKE,08-20-1998,,,7.01,,21.3,0.56,0.01,0.19,0.62,3.59,0.02,0.13,0.58,0.0,1.15,,
WHITE RIVER NATIONAL FOREST,MAROON BELLS SNOWMASS WILDERNESS,39.16167,-107.08056,320243,4336779,13,CAPITOL LAKE,CAPITOL LAKE,10-08-1998,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,
WHITE RIVER NATIONAL FOREST,MAROON BELLS SNOWMASS WILDERNESS,39.16167,-107.08056,320243,4336779,13,CAPITOL LAKE,CAPITOL LAKE,07-23-1999,,,7.2,,22.41,0.53,0.0,0.22,0.61,3.84,0.01,0.13,0.76,0.0,1.27,,
WHITE RIVER NATIONAL FOREST,MAROON BELLS SNOWMASS WILDERNESS,39.16167,-107.08056,320243,4336779,13,CAPITOL LAKE,CAPITOL LAKE,08-21-1999,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,
WHITE RIVER NATIONAL FOREST,MAROON BELLS SNOWMASS WILDERNESS,39.16167,-107.08056,320243,4336779,13,CAPITOL LAKE,CAPITOL LAKE,09-23-1999,,,6.99,,21.96,0.5,0.01,0.17,0.62,3.85,0.01,0.15,0.62,0.0,1.37,,
WHITE RIVER NATIONAL FOREST,MAROON BELLS SNOWMASS WILDERNESS,39.16167,-107.08056,320243,4336779,13,CAPITOL LAKE ,CAPITOL LAKE ,07-28-2004,1210,BLANK,5.55,-2.41,1.53,0.09,0.03,0.12,0.01,0.14,0.0,0.04,0.0,0.0,0.0,,
WHITE RIVER NATIONAL FOREST,MAROON BELLS SNOWMASS WILDERNESS,39.16167,-107.08056,320243,4336779,13,CAPITOL LAKE ,CAPITOL LAKE ,07-05-2010,,BLANK,5.83,11.2,1.56,0.02,0.0,0.0,0.0,0.33,0.01,0.01,0.0,0.0,0.0,,
WHITE RIVER NATIONAL FOREST,MAROON BELLS SNOWMASS WILDERNESS,39.16167,-107.08056,320243,4336779,13,CAPITOL LAKE ,CAPITOL LAKE ,07-03-2000,955,DUPLICATE,6.81,203.7,27.1,0.51,0.0,0.2,0.59,4.14,0.0,0.11,0.92,0.0,1.31,,
WHITE RIVER NATIONAL FOREST,MAROON BELLS SNOWMASS WILDERNESS,39.16167,-107.08056,320243,4336779,13,CAPITOL LAKE ,CAPITOL LAKE ,07-27-2001,1430,DUPLICATE,7.26,190.3,26.4,0.56,0.0,0.23,0.58,3.61,0.04,0.14,0.66,0.0,1.39,,
WHITE RIVER NATIONAL FOREST,MAROON BELLS SNOWMASS WILDERNESS,39.16167,-107.08056,320243,4336779,13,CAPITOL LAKE ,CAPITOL LAKE ,08-05-2003,1620,DUPLICATE,7.46,229.9,29.7,0.65,0.03,0.27,0.65,4.13,0.03,0.19,0.72,0.0,1.82,,
WHITE RIVER NATIONAL FOREST,MAROON BELLS SNOWMASS WILDERNESS,39.16167,-107.08056,320243,4336779,13,CAPITOL LAKE ,CAPITOL LAKE ,08-29-2005,1555,DUPLICATE,7.45,213.69,29.8,,,,,,,,,,,,
WHITE RIVER NATIONAL FOREST,MAROON BELLS SNOWMASS WILDERNESS,39.16167,-107.08056,320243,4336779,13,CAPITOL LAKE ,CAPITOL LAKE ,09-03-2003,,REGULAR,7.43,225.1,28.1,0.67,0.01,0.25,0.66,4.22,0.05,0.25,0.75,0.0,2.1,LAB FILTERED,
WHITE RIVER NATIONAL FOREST,MAROON BELLS SNOWMASS WILDERNESS,39.16167,-107.08056,320243,4336779,13,CAPITOL LAKE  ,CAPITOL LAKE  ,09-03-2003,1610,REGULAR,7.45,222.4,29.4,0.67,0.0,0.24,0.65,4.25,0.05,0.27,0.78,0.0,2.1,FIELD FILTERED,
ARAPAHO ROOSEVELT NATIONAL FOREST,INDIAN PEAK WILDERNESS,40.07550,-105.66390,443392,4436348,13,CRATER LAKE,CRATER LAKE-AR,09-11-2001,,BLANK,5.75,-41.1,1.3,0.01,0.02,0.0,0.0,0.02,0.0,0.0,0.0,0.0,0.0,,
ARAPAHO ROOSEVELT NATIONAL FOREST,INDIAN PEAK WILDERNESS,40.07550,-105.66390,443392,4436348,13,CRATER LAKE,CRATER LAKE-AR,08-08-2002,1212,BLANK,5.67,-0.1,0.9,0.0,0.0,0.0,0.0,0.03,0.0,0.0,0.0,0.0,0.0,,
ARAPAHO ROOSEVELT NATIONAL FOREST,INDIAN PEAK WILDERNESS,40.07550,-105.66390,443392,4436348,13,CRATER LAKE,CRATER LAKE-AR,09-05-2002,1027,BLANK,5.51,3.3,1.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,
ARAPAHO ROOSEVELT NATIONAL FOREST,INDIAN PEAK WILDERNESS,40.07550,-105.66390,443392,4436348,13,CRATER LAKE,CRATER LAKE-AR,08-10-2003,1730,BLANK,5.8,3.8,0.8,0.0,0.0,0.0,0.0,0.01,0.0,0.0,0.0,0.0,0.0,,
ARAPAHO ROOSEVELT NATIONAL FOREST,INDIAN PEAK WILDERNESS,40.07550,-105.66390,443392,4436348,13,CRATER LAKE,CRATER LAKE-AR,09-15-2003,,BLANK,5.86,-5.8,0.7,,,,,,,,,,,,
ARAPAHO ROOSEVELT NATIONAL FOREST,INDIAN PEAK WILDERNESS,40.07550,-105.66390,443392,4436348,13,CRATER LAKE,CRATER LAKE-AR,09-15-2003,,BLANK,5.86,-5.8,0.7,0.0,0.0,0.0,0.01,0.02,0.0,0.0,0.0,0.0,0.0,LAB FILTERED,
ARAPAHO ROOSEVELT NATIONAL FOREST,INDIAN PEAK WILDERNESS,40.07550,-105.66390,443392,4436348,13,CRATER LAKE,CRATER LAKE-AR,09-15-2003,,BLANK,5.86,-5.8,0.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,FIELD FILTERED,
ARAPAHO ROOSEVELT NATIONAL FOREST,INDIAN PEAK WILDERNESS,40.07550,-105.66390,443392,4436348,13,CRATER LAKE,CRATER LAKE-AR,08-05-2004,1305,BLANK,5.7,-5.1,1.0,0.0,0.0,0.0,0.0,0.07,0.0,0.0,0.0,0.0,0.0,,
ARAPAHO ROOSEVELT NATIONAL FOREST,INDIAN PEAK WILDERNESS,40.07550,-105.66390,443392,4436348,13,CRATER LAKE,CRATER LAKE-AR,09-08-2004,1100,BLANK,5.64,-2.64,1.13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,
ARAPAHO ROOSEVELT NATIONAL FOREST,INDIAN PEAK WILDERNESS,40.07550,-105.66390,443392,4436348,13,CRATER LAKE,CRATER LAKE-AR,08-09-2005,1020,BLANK,5.68,3.15,1.08,0.0,0.03,0.0,0.0,0.04,0.02,,,,0.0,,
ARAPAHO ROOSEVELT NATIONAL FOREST,INDIAN PEAK WILDERNESS,40.07550,-105.66390,443392,4436348,13,CRATER LAKE,CRATER LAKE-AR,09-05-2005,,BLANK,5.76,1.0,1.22,,,,,,,,,,,,
ARAPAHO ROOSEVELT NATIONAL FOREST,INDIAN PEAK WILDERNESS,40.07550,-105.66390,443392,4436348,13,CRATER LAKE,CRATER LAKE-AR,08-15-2006,1730,BLANK,5.36,8.39,1.7,0.0,0.02,0.0,0.0,0.02,0.0,0.01,0.0,0.0,0.0,,
ARAPAHO ROOSEVELT NATIONAL FOREST,INDIAN PEAK WILDERNESS,40.07550,-105.66390,443392,4436348,13,CRATER LAKE,CRATER LAKE-AR,08-06-2007,1300,BLANK,5.65,2.17,0.81,0.0,0.03,0.0,0.0,0.0,,,,,,,
ARAPAHO ROOSEVELT NATIONAL FOREST,INDIAN PEAK WILDERNESS,40.07550,-105.66390,443392,4436348,13,CRATER LAKE,CRATER LAKE-AR,09-08-2007,1500,BLANK,5.59,0.92,1.04,0.0,0.02,0.0,0.0,0.0,,,,,,,
ARAPAHO ROOSEVELT NATIONAL FOREST,INDIAN PEAK WILDERNESS,40.07550,-105.66390,443392,4436348,13,CRATER LAKE,CRATER LAKE-AR,08-03-2009,1530,BLANK,5.77,4.62,0.77,0.0,0.01,0.0,0.0,0.07,0.0,0.0,0.0,0.0,0.01,,
ARAPAHO ROOSEVELT NATIONAL FOREST,INDIAN PEAK WILDERNESS,40.07550,-105.66390,443392,4436348,13,CRATER LAKE,CRATER LAKE-AR,09-15-2009,1315,BLANK,5.69,-3.76,0.83,0.0,0.03,0.0,0.0,0.04,0.0,0.0,0.0,0.0,0.01,,
ARAPAHO ROOSEVELT NATIONAL FOREST,INDIAN PEAK WILDERNESS,40.07550,-105.66390,443392,4436348,13,CRATER LAKE,CRATER LAKE-AR,08-10-2003,1730,DUPLICATE,6.96,40.8,10.9,0.22,0.02,0.09,0.09,1.6,0.08,0.04,0.41,0.0,0.9,,
ARAPAHO ROOSEVELT NATIONAL FOREST,INDIAN PEAK WILDERNESS,40.07550,-105.66390,443392,4436348,13,CRATER LAKE,CRATER LAKE-AR,09-15-2003,1615,DUPLICATE,6.95,72.8,13.1,0.28,0.0,0.08,0.12,2.18,0.1,0.08,0.69,0.0,1.39,,
ARAPAHO ROOSEVELT NATIONAL FOREST,INDIAN PEAK WILDERNESS,40.07550,-105.66390,443392,4436348,13,CRATER LAKE,CRATER LAKE-AR,09-08-2004,1100,DUPLICATE,6.93,68.85,13.18,0.28,0.02,0.1,0.14,2.03,0.08,0.07,0.64,0.0,1.41,,
ARAPAHO ROOSEVELT NATIONAL FOREST,INDIAN PEAK WILDERNESS,40.07550,-105.66390,443392,4436348,13,CRATER LAKE,CRATER LAKE-AR,08-15-2006,1730,DUPLICATE,6.92,60.98,9.53,0.24,0.01,0.07,0.09,1.57,0.08,0.04,0.21,0.0,0.75,,
ARAPAHO ROOSEVELT NATIONAL FOREST,INDIAN PEAK WILDERNESS,40.07550,-105.66390,443392,4436348,13,CRATER LAKE,CRATER LAKE-AR,08-06-2007,1300,DUPLICATE,7.31,69.08,9.56,0.24,0.02,0.09,0.1,1.62,,,,,,,
ARAPAHO ROOSEVELT NATIONAL FOREST,INDIAN PEAK WILDERNESS,40.07550,-105.66390,443392,4436348,13,CRATER LAKE,CRATER LAKE-AR,09-08-2007,1500,DUPLICATE,7.06,85.53,13.17,0.32,0.04,0.14,0.12,2.19,,,,,,,
ARAPAHO ROOSEVELT NATIONAL FOREST,INDIAN PEAK WILDERNESS,40.07550,-105.66390,443392,4436348,13,CRATER LAKE,CRATER LAKE-AR,08-03-2009,1530,DUPLICATE,7.23,69.59,9.56,0.25,0.0,0.08,0.09,1.47,0.0,0.03,0.0,0.0,0.68,,
ARAPAHO ROOSEVELT NATIONAL FOREST,INDIAN PEAK WILDERNESS,40.07550,-105.66390,443392,4436348,13,CRATER LAKE,CRATER LAKE-AR,09-15-2009,1315,DUPLICATE,7.03,74.96,9.5,0.3,0.0,0.09,0.1,1.66,0.07,0.04,0.0,0.0,0.94,,
ARAPAHO ROOSEVELT NATIONAL FOREST,INDIAN PEAK WILDERNESS,40.07550,-105.66390,443392,4436348,13,CRATER LAKE,CRATER LAKE-AR,08-02-2011,1430,DUPLICATE,6.84,58.62,6.65,,,,,,0.06,0.04,0.15,0.0,0.56,,
ARAPAHO ROOSEVELT NATIONAL FOREST,INDIAN PEAK WILDERNESS,40.07550,-105.66390,443392,4436348,13,CRATER LAKE,CRATER LAKE-AR,09-11-2012,1350,DUPLICATE,6.69,117.45,15.52,,,,,,,,,,,,
ARAPAHO ROOSEVELT NATIONAL FOREST,INDIAN PEAK WILDERNESS,40.07550,-105.66390,443392,4436348,13,CRATER LAKE,CRATER LAKE-AR,09-11-2001,1420,REGULAR,6.76,52.9,11.8,0.23,0.03,0.11,0.1,1.76,0.08,0.06,0.34,0.0,1.24,,
ARAPAHO ROOSEVELT NATIONAL FOREST,INDIAN PEAK WILDERNESS,40.07550,-105.66390,443392,4436348,13,CRATER LAKE,CRATER LAKE-AR,08-08-2002,1212,REGULAR,6.89,64.0,12.1,0.25,0.0,0.11,0.12,1.87,0.06,0.07,0.87,0.0,1.2,,
ARAPAHO ROOSEVELT NATIONAL FOREST,INDIAN PEAK WILDERNESS,40.07550,-105.66390,443392,4436348,13,CRATER LAKE,CRATER LAKE-AR,09-05-2002,1027,REGULAR,6.82,66.3,12.7,0.28,0.01,0.1,0.13,2.08,0.0,0.07,0.95,0.0,1.36,,
ARAPAHO ROOSEVELT NATIONAL FOREST,INDIAN PEAK WILDERNESS,40.07550,-105.66390,443392,4436348,13,CRATER LAKE,CRATER LAKE-AR,08-10-2003,1730,REGULAR,6.95,64.3,10.6,0.24,0.0,0.1,0.1,1.56,0.08,0.04,0.43,0.0,0.92,,
ARAPAHO ROOSEVELT NATIONAL FOREST,INDIAN PEAK WILDERNESS,40.07550,-105.66390,443392,4436348,13,CRATER LAKE,CRATER LAKE-AR,09-15-2003,1615,REGULAR,7.01,67.8,12.7,0.28,0.0,0.08,0.12,2.15,0.1,0.07,0.69,0.0,1.38,,
ARAPAHO ROOSEVELT NATIONAL FOREST,INDIAN PEAK WILDERNESS,40.07550,-105.66390,443392,4436348,13,CRATER LAKE,CRATER LAKE-AR,09-15-2003,1615,REGULAR,7.06,72.1,13.3,,,,,,,,,,,LAB FILTERED,
ARAPAHO ROOSEVELT NATIONAL FOREST,INDIAN PEAK WILDERNESS,40.07550,-105.66390,443392,4436348,13,CRATER LAKE,CRATER LAKE-AR,09-15-2003,,REGULAR,7.06,72.1,13.3,0.29,0.0,0.08,0.12,2.08,0.09,0.07,0.65,0.0,1.4,LAB FILTERED,
ARAPAHO ROOSEVELT NATIONAL FOREST,INDIAN PEAK WILDERNESS,40.07550,-105.66390,443392,4436348,13,CRATER LAKE,CRATER LAKE-AR,09-15-2003,,REGULAR,7.06,72.1,13.3,0.28,0.0,0.07,0.12,2.13,0.09,0.08,0.65,0.0,1.39,FIELD FILTERED,
ARAPAHO ROOSEVELT NATIONAL FOREST,INDIAN PEAK WILDERNESS,40.07550,-105.66390,443392,4436348,13,CRATER LAKE,CRATER LAKE-AR,08-05-2004,1305,REGULAR,6.84,54.5,11.92,0.27,0.02,0.11,0.13,1.75,0.06,0.05,0.49,0.0,1.07,,
ARAPAHO ROOSEVELT NATIONAL FOREST,INDIAN PEAK WILDERNESS,40.07550,-105.66390,443392,4436348,13,CRATER LAKE,CRATER LAKE-AR,09-08-2004,1100,REGULAR,6.97,69.54,13.04,0.29,0.02,0.14,0.13,1.96,0.08,0.07,0.65,0.0,1.4,,
ARAPAHO ROOSEVELT NATIONAL FOREST,INDIAN PEAK WILDERNESS,40.07550,-105.66390,443392,4436348,13,CRATER LAKE,CRATER LAKE-AR,08-09-2005,1020,REGULAR,7.03,57.6,10.45,0.25,0.04,0.1,0.09,1.64,0.08,0.06,0.68,,0.88,,
ARAPAHO ROOSEVELT NATIONAL FOREST,INDIAN PEAK WILDERNESS,40.07550,-105.66390,443392,4436348,13,CRATER LAKE,CRATER LAKE-AR,09-05-2005,840,REGULAR,6.93,60.87,11.37,,,,,,,,,,,,
ARAPAHO ROOSEVELT NATIONAL FOREST,INDIAN PEAK WILDERNESS,40.07550,-105.66390,443392,4436348,13,CRATER LAKE,CRATER LAKE-AR,08-15-2006,1730,REGULAR,6.93,67.53,9.81,0.23,0.03,0.07,0.09,1.55,0.08,0.04,0.21,0.0,0.75,,
ARAPAHO ROOSEVELT NATIONAL FOREST,INDIAN PEAK WILDERNESS,40.07550,-105.66390,443392,4436348,13,CRATER LAKE,CRATER LAKE-AR,08-06-2007,1300,REGULAR,7.33,63.8,9.48,0.23,0.02,0.07,0.09,1.59,,,,,,,
ARAPAHO ROOSEVELT NATIONAL FOREST,INDIAN PEAK WILDERNESS,40.07550,-105.66390,443392,4436348,13,CRATER LAKE,CRATER LAKE-AR,09-08-2007,1500,REGULAR,7.01,82.52,13.27,0.28,0.04,0.08,0.14,2.65,,,,,,,
ARAPAHO ROOSEVELT NATIONAL FOREST,INDIAN PEAK WILDERNESS,40.07550,-105.66390,443392,4436348,13,CRATER LAKE,CRATER LAKE-AR,08-03-2009,1530,REGULAR,7.23,71.32,9.68,0.24,0.0,0.08,0.09,1.43,0.01,0.03,0.0,0.0,0.64,,
ARAPAHO ROOSEVELT NATIONAL FOREST,INDIAN PEAK WILDERNESS,40.07550,-105.66390,443392,4436348,13,CRATER LAKE,CRATER LAKE-AR,09-15-2009,1315,REGULAR,7.03,74.7,9.69,0.28,0.0,0.09,0.09,1.63,0.08,0.04,0.0,0.01,0.93,,
ARAPAHO ROOSEVELT NATIONAL FOREST,INDIAN PEAK WILDERNESS,40.07550,-105.66390,443392,4436348,13,CRATER LAKE,CRATER LAKE-AR,08-08-2010,1500,REGULAR,7.4,62.41,8.91,0.19,0.01,0.08,0.12,1.31,0.07,0.04,0.07,0.0,0.6,,
ARAPAHO ROOSEVELT NATIONAL FOREST,INDIAN PEAK WILDERNESS,40.07550,-105.66390,443392,4436348,13,CRATER LAKE,CRATER LAKE-AR,09-09-2010,1320,REGULAR,6.74,75.13,9.15,0.22,0.01,0.07,0.11,1.56,0.07,0.05,0.07,0.0,0.79,,
ARAPAHO ROOSEVELT NATIONAL FOREST,INDIAN PEAK WILDERNESS,40.07550,-105.66390,443392,4436348,13,CRATER LAKE,CRATER LAKE-AR,08-02-2011,1430,REGULAR,6.88,57.83,8.38,,,,,,0.06,0.04,0.18,0.0,0.56,,
ARAPAHO ROOSEVELT NATIONAL FOREST,INDIAN PEAK WILDERNESS,40.07550,-105.66390,443392,4436348,13,CRATER LAKE,CRATER LAKE-AR,09-05-2011,1350,REGULAR,7.01,67.95,8.64,0.18,0.02,0.06,0.03,,0.07,0.04,0.02,0.0,0.55,,
ARAPAHO ROOSEVELT NATIONAL FOREST,INDIAN PEAK WILDERNESS,40.07550,-105.66390,443392,4436348,13,CRATER LAKE,CRATER LAKE-AR,08-04-2012,1415,REGULAR,6.89,77.42,9.57,,,,,,,,,,,,
ARAPAHO ROOSEVELT NATIONAL FOREST,INDIAN PEAK WILDERNESS,40.07550,-105.66390,443392,4436348,13,CRATER LAKE,CRATER LAKE-AR,09-11-2012,1350,REGULAR,6.72,85.63,11.43,,,,,,,,,,,,
ARAPAHO ROOSEVELT NATIONAL FOREST,INDIAN PEAK WILDERNESS,40.07550,-105.66390,443392,4436348,13,CRATER LAKE,CRATER LAKE-AR,08-02-2016,1402,REGULAR,6.91,82.93,10.43,0.22,0.05,0.03,0.08,1.5,0.06,0.05,0.04,0.0,0.65,,
ARAPAHO ROOSEVELT NATIONAL FOREST,INDIAN PEAK WILDERNESS,40.07550,-105.66390,443392,4436348,13,CRATER LAKE,CRATER LAKE-AR,08-02-2016,1405,REGULAR,7.02,70.24,10.42,0.22,0.06,0.05,0.09,1.48,0.06,0.05,0.04,0.0,0.62,,
ARAPAHO ROOSEVELT NATIONAL FOREST,INDIAN PEAK WILDERNESS,40.07550,-105.66390,443392,4436348,13,CRATER LAKE,CRATER LAKE-AR,09-14-2016,1536,REGULAR,7.06,77.75,12.43,0.28,0.01,0.05,0.11,2.25,0.06,0.03,0.19,0.0,0.89,,
ARAPAHO ROOSEVELT NATIONAL FOREST,INDIAN PEAK WILDERNESS,40.07550,-105.66390,443392,4436348,13,CRATER LAKE,CRATER LAKE-AR,08-13-2017,13:51,REGULAR,7.02,69.94,9.38,0.26,0.02,0.08,0.1,1.62,0.07,0.0,0.0,0.0,0.8,,
ARAPAHO ROOSEVELT NATIONAL FOREST,INDIAN PEAK WILDERNESS,40.07550,-105.66390,443392,4436348,13,CRATER LAKE,CRATER LAKE-AR,09-10-2017,14:05,REGULAR,7.01,86.39,12.81,0.36,0.04,0.12,0.18,2.6,0.09,0.06,0.19,0.0,0.91,,
ARAPAHO ROOSEVELT NATIONAL FOREST,INDIAN PEAK WILDERNESS,40.07550,-105.66390,443392,4436348,13,CRATER LAKE,CRATER LAKE-AR,08-03-2018,1422,REGULAR,6.73,83.48,12.81,0.24,0.01,0.08,0.19,2.05,0.0,0.06,0.22,0.0,0.95,,
ARAPAHO ROOSEVELT NATIONAL FOREST,INDIAN PEAK WILDERNESS,40.07550,-105.66390,443392,4436348,13,CRATER LAKE,CRATER LAKE-AR,09-07-2018,1419,REGULAR,6.65,88.36,13.74,0.25,0.0,0.08,0.1,2.58,0.06,0.08,0.21,0.0,1.08,,
ARAPAHO ROOSEVELT NATIONAL FOREST,INDIAN PEAK WILDERNESS,40.07550,-105.66390,443392,4436348,13,CRATER LAKE,CRATER LAKE-AR,08-11-2019,11:30,REGULAR,6.9,74.81,9.16,0.18,0.02,0.04,0.09,1.78,0.0,0.05,0.07,0.0,0.68,,
ARAPAHO ROOSEVELT NATIONAL FOREST,INDIAN PEAK WILDERNESS,40.07550,-105.66390,443392,4436348,13,CRATER LAKE,CRATER LAKE-AR,09-13-2019,14:05,REGULAR,6.94,81.97,11.65,0.21,0.04,0.05,0.08,1.64,0.06,0.03,0.11,0.0,0.76,,
ARAPAHO ROOSEVELT NATIONAL FOREST,INDIAN PEAK WILDERNESS,40.07550,-105.66390,443392,4436348,13,CRATER LAKE,CRATER LAKE-AR,09-13-2020,1401,REGULAR,6.8,94.65,11.75,0.25,0.02,0.1,0.14,1.79,0.05,0.07,0.16,0.0,0.83,,
RIO GRANDE NATIONAL FOREST,SANGRE DE CRISTO WILDERNESS,37.57642,-105.49557,443392,4436348,13,CRATER LAKE,CRATER LAKE-RG,09-21-1998,,BLANK,5.54,-1.4,1.05,0.02,0.0,0.0,0.02,0.0,0.0,0.0,0.0,0.0,0.02,,
RIO GRANDE NATIONAL FOREST,SANGRE DE CRISTO WILDERNESS,37.57642,-105.49557,443392,4436348,13,CRATER LAKE,CRATER LAKE-RG,08-09-2008,1455,BLANK,5.57,3.94,1.02,0.0,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,,
RIO GRANDE NATIONAL FOREST,SANGRE DE CRISTO WILDERNESS,37.57642,-105.49557,443392,4436348,13,CRATER LAKE,CRATER LAKE-RG,09-02-2008,1300,BLANK,5.65,-0.55,0.96,0.0,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,,
RIO GRANDE NATIONAL FOREST,SANGRE DE CRISTO WILDERNESS,37.57642,-105.49557,443392,4436348,13,CRATER LAKE,CRATER LAKE-RG,09-08-2008,,BLANK,5.58,-0.06,1.3,0.0,0.01,0.0,0.0,0.02,0.0,0.0,0.0,0.0,0.01,,
RIO GRANDE NATIONAL FOREST,SANGRE DE CRISTO WILDERNESS,37.57642,-105.49557,443392,4436348,13,CRATER LAKE,CRATER LAKE-RG,08-12-1997,1330,DUPLICATE,6.98,253.2,38.67,0.25,0.0,0.2,0.3,7.69,0.0,0.15,1.51,0.0,3.82,,
RIO GRANDE NATIONAL FOREST,SANGRE DE CRISTO WILDERNESS,37.57642,-105.49557,443392,4436348,13,CRATER LAKE,CRATER LAKE-RG,07-31-2000,1215,DUPLICATE,6.99,277.2,43.8,0.25,0.0,0.22,0.36,7.57,0.0,0.2,1.7,0.0,4.41,"AL, SIO2",
RIO GRANDE NATIONAL FOREST,SANGRE DE CRISTO WILDERNESS,37.57642,-105.49557,443392,4436348,13,CRATER LAKE,CRATER LAKE-RG,08-06-2000,1103,DUPLICATE,6.39,55.8,7.69,0.14,0.0,0.05,0.09,1.68,0.1,0.12,0.03,0.0,0.62,,
RIO GRANDE NATIONAL FOREST,SANGRE DE CRISTO WILDERNESS,37.57642,-105.49557,443392,4436348,13,CRATER LAKE,CRATER LAKE-RG,09-10-2000,1225,DUPLICATE,6.63,66.0,9.84,0.16,0.0,0.09,0.1,1.6,0.09,0.13,0.19,0.0,0.89,,
RIO GRANDE NATIONAL FOREST,SANGRE DE CRISTO WILDERNESS,37.57642,-105.49557,443392,4436348,13,CRATER LAKE,CRATER LAKE-RG,09-18-2000,1405,DUPLICATE,7.67,326.7,55.9,0.81,0.0,0.39,0.49,9.6,0.0,0.28,2.69,0.0,7.23,"AL, SIO2",
RIO GRANDE NATIONAL FOREST,SANGRE DE CRISTO WILDERNESS,37.57642,-105.49557,443392,4436348,13,CRATER LAKE,CRATER LAKE-RG,07-10-2003,1245,DUPLICATE,7.53,219.72,42.1,0.29,0.0,0.23,0.34,7.25,0.02,0.25,2.06,0.0,5.83,,
RIO GRANDE NATIONAL FOREST,SANGRE DE CRISTO WILDERNESS,37.57642,-105.49557,443392,4436348,13,CRATER LAKE,CRATER LAKE-RG,07-29-2005,1050,DUPLICATE,7.49,208.57,35.8,0.31,0.0,0.23,0.32,6.04,0.12,1.04,1.37,0.0,3.93,,
RIO GRANDE NATIONAL FOREST,SANGRE DE CRISTO WILDERNESS,37.57642,-105.49557,443392,4436348,13,CRATER LAKE,CRATER LAKE-RG,06-30-2006,1100,DUPLICATE,7.57,261.84,46.6,0.42,0.05,0.16,0.36,7.41,0.01,0.38,1.81,0.0,5.52,,
RIO GRANDE NATIONAL FOREST,SANGRE DE CRISTO WILDERNESS,37.57642,-105.49557,443392,4436348,13,CRATER LAKE,CRATER LAKE-RG,08-09-2008,1455,DUPLICATE,7.02,64.13,9.55,0.22,0.01,0.09,0.09,1.52,0.07,0.05,0.12,0.0,0.74,,
